date,time,id,sex,age_category,age_estimated,height,grip_RH,grip_LH
6.13,8:40 AM,5237,male,adult,30,163,43.5,36.2
6.13,9:51 AM,5238,male,elder,45,169,47,33.6
6.13,11:00 AM,5250,male,adult,20,168,40,41.7
6.13,11:41 AM,5251,male,young adult,19,169,50.9,49.4
6.13,1:30 PM,5267,male,adult,35,168.5,40.8,44.2
6.13,2:00 PM,5269,male,adult,31,161.5,NA,38.4
6.13,4:15 PM,5281,male,young adult,19,167.75,35.4,40.3
6.14,9:24 AM,5318,female,adult,30,154,33.3,34.5
6.14,9:51 AM,5319,female,adult,26,148,34.6,34.5
6.14,10:15 AM,5320,female,adult,25,152.5,40.8,42.5
6.14,11:34 AM,5356,female,elder,65,149,21.3,20.3
6.14,12:06 PM,5357,female,elder,70,156,16.2,15.7
6.14,3:40 PM,5370,male,adult,30,164.5,41.1,39.8
6.14,4:41 PM,5371,male,adult,29,171.5,42.7,37.8
6.14,5:17 PM,5372,male,adult,24,170,42.3,39.9
6.15,7:37 AM,5376,male,adult,28,170.5,47.9,37.4
6.15,8:30 AM,5387,female,adult,30,169,44.9,36.5
6.15,9:10 AM,5388,female,adult,26,160.5,27.3,27.4
6.15,9:47 AM,5400,female,adult,27,155,33.6,28.8
6.15,10:11 AM,5403,male,adult,39,163.5,44.4,43.6
6.15,10:40 AM,5405,male,adult,28,165.25,31.4,42.4
6.15,11:12 AM,5406,female,elder,60,152,20.6,19.6
6.15,1:05 PM,5407,male,adult,34,169,40.2,25.4
6.15,1:40 PM,5408,male,adult,29,177,50.6,24.9
6.15,3:17 PM,5443,female,adult,30,156.5,24.2,24.5
6.16,8:43 AM,5480,female,adult,18,160.5,26,26.7
6.16,9:07 AM,5481,female,adult,50,157,35.1,34.3
6.16,9:35 AM,5483,female,adult,34,158,NA,25
6.16,10:12 AM,5484,female,adult,35,154,29.1,26.9
6.16,10:45 AM,5485,female,adult,30,156,30.8,25.3
6.16,1:58 PM,5499,male,adult,30,164.5,51.2,46.5
6.16,2:31 PM,5500,male,adult,36,165,45.7,36.3
6.16,4:44 PM,5536,male,adult,30,164,46.4,40.7
6.17,9:27 AM,5569,male,elder,67,172.5,36.4,34.2
6.17,9:54 AM,5570,female,elder,60,149.5,NA,29.7
6.17,10:23 AM,5578,male,adult,35,174,53.2,58
6.17,10:54 AM,5579,female,elder,60,165.5,28.4,31.2
6.17,2:21 PM,5589,female,adult,35,158,35.5,31.3
6.17,2:44 PM,5590,female,adult,22,155,31.2,27
6.17,16:37,5596,female,adult,36,157,37.8,36.9
6.17,6:40 PM,5597,male,adult,35,162.5,38.8,41.1
6.18,8:44 AM,5604,male,adult,35,167,37.6,33.7
6.18,9:10 AM,5605,male,elder,93,156,10.9,10.1
6.18,10:30 AM,5613,male,adult,38,177.5,55.1,47.9
6.18,11:00 AM,5614,male,adult,33,161,50.6,37.2
6.18,11:19 AM,5615,male,adult,34,162.5,42.4,37.5
6.18,11:39 AM,5616,male,young adult,18,166,32.2,29.4
6.18,11:57 AM,5617,male,young adult,18,171.5,36.4,31.5
6.18,1:07 PM,5618,male,adult,32,172,46.4,44.1
6.18,3:34 PM,5626,male,adult,33,165,46.5,46.2
6.18,6:10 PM,5632,male,elder,45,163,35,38.9
6.18,7:53 PM,5634,female,adult,33,154.5,31.9,24.5
6.18,8:26 PM,5636,female,adult,27,152,32.7,29.6
6.19,8:14 AM,5637,male,elder,76,156.5,14.8,5.4
6.19,8:35 AM,5638,male,adult,43,160,29.8,27.4
6.19,9:03 AM,5639,female,adult,45,156,13.3,10.9
6.19,9:43 AM,5640,female,adult,45,158,34.9,38.1
6.19,10:04 AM,5641,male,elder,65,169,31.7,37.4
6.19,10:34 AM,5642,female,adult,50,151.5,28,25.8
6.19,5:06 PM,5649,female,adult,27,152,36.9,28.4
