participant_id,participant_gender,trait,rater,rater_gender,rank
5615,m,allies,rater_1,male,1
5499,m,allies,rater_1,male,2
5500,m,allies,rater_1,male,3
5371,m,allies,rater_1,male,4
5370,m,allies,rater_1,male,5
5281,m,allies,rater_1,male,6
5269,m,allies,rater_1,male,7
5597,m,allies,rater_1,male,8
5376,m,allies,rater_1,male,9
5403,m,allies,rater_1,male,10
5536,m,allies,rater_1,male,11
5618,m,allies,rater_1,male,12
5613,m,allies,rater_1,male,13
5626,m,allies,rater_1,male,14
5614,m,allies,rater_1,male,15
5617,m,allies,rater_1,male,16
5616,m,allies,rater_1,male,17
5632,m,allies,rater_1,male,18
5637,m,allies,rater_1,male,19
5638,m,allies,rater_1,male,20
5405,m,allies,rater_1,male,21
5407,m,allies,rater_1,male,22
5408,m,allies,rater_1,male,23
5251,m,allies,rater_1,male,24
5267,m,allies,rater_1,male,25
5578,m,allies,rater_1,male,26
5238,m,allies,rater_1,male,27
5569,m,allies,rater_1,male,28
5605,m,allies,rater_1,male,29
5604,m,allies,rater_1,male,30
5372,m,allies,rater_1,male,31
5250,m,allies,rater_1,male,32
5641,m,allies,rater_1,male,33
5499,m,conflict,rater_1,male,1
5500,m,conflict,rater_1,male,2
5371,m,conflict,rater_1,male,3
5269,m,conflict,rater_1,male,4
5536,m,conflict,rater_1,male,5
5626,m,conflict,rater_1,male,6
5618,m,conflict,rater_1,male,7
5613,m,conflict,rater_1,male,8
5604,m,conflict,rater_1,male,9
5238,m,conflict,rater_1,male,10
5376,m,conflict,rater_1,male,11
5372,m,conflict,rater_1,male,12
5403,m,conflict,rater_1,male,13
5614,m,conflict,rater_1,male,14
5617,m,conflict,rater_1,male,15
5637,m,conflict,rater_1,male,16
5638,m,conflict,rater_1,male,17
5407,m,conflict,rater_1,male,18
5615,m,conflict,rater_1,male,19
5408,m,conflict,rater_1,male,20
5370,m,conflict,rater_1,male,21
5267,m,conflict,rater_1,male,22
5251,m,conflict,rater_1,male,23
5405,m,conflict,rater_1,male,24
5578,m,conflict,rater_1,male,25
5632,m,conflict,rater_1,male,26
5616,m,conflict,rater_1,male,27
5597,m,conflict,rater_1,male,28
5281,m,conflict,rater_1,male,29
5250,m,conflict,rater_1,male,30
5605,m,conflict,rater_1,male,31
5641,m,conflict,rater_1,male,32
